x=0.0531321,y=7.91729e-10
x=0.6143,y=0.0632069
x=0.066574,y=0.0126181
x=0.0811288,y=0.0143731
x=0.0349837,y=0.00736236
x=-0.0066743,y=0.0024163
x=0.0445468,y=0.00378015
x=0.0844068,y=0.00525018
x=0.750358,y=0.119546
x=0.0931923,y=0.01542
x=0.103267,y=0.0172047
x=0.0672321,y=0.0100501
x=0.0389632,y=0.00519454
x=0.0823831,y=0.00975619
x=0.111825,y=0.0132992
x=0.157353,y=0.0220952
x=0.185512,y=0.0298766
x=0.21427,y=0.0403252
x=0.242202,y=0.052267
x=0.269738,y=0.065917
x=0.29679,y=0.0810267
x=0.323372,y=0.0975143
x=0.349343,y=0.115098
x=0.374759,y=0.133758
x=0.399302,y=0.152959
x=0.443455,y=0.190315
x=0.494389,y=0.241289
x=0.487846,y=0.235566
x=0.832608,y=0.574376
x=0.504037,y=0.261018
x=0.523651,y=0.280393
x=0.486922,y=0.242544
x=0.44272,y=0.197786
x=0.485942,y=0.237954
x=0.525395,y=0.274506
x=0.888563,y=0.657653
x=0.539003,y=0.296702
x=0.555577,y=0.314271
x=0.533975,y=0.290596
x=0.499187,y=0.252645
x=0.533861,y=0.288428
x=0.570637,y=0.326337
x=0.606554,y=0.366019
x=0.619857,y=0.381893
x=0.879196,y=0.705729
x=0.642187,y=0.418843
x=0.666074,y=0.448906
x=0.699186,y=0.492216
x=0.742836,y=0.551597
x=0.764747,y=0.583428
x=0.770113,y=0.591676
x=0.949784,y=0.869807
x=0.798371,y=0.642233
x=0.823667,y=0.681763
x=0.865157,y=0.748713
x=0.882368,y=0.77782
x=0.885944,y=0.784154
x=0.985261,y=0.960876
x=0.923171,y=0.854741
x=0.944016,y=0.892132
x=0.962744,y=0.926778
x=0.968183,y=0.937194
x=0.96991,y=0.940544
x=0.971713,y=0.944052
x=0.973479,y=0.947492
x=0.97522,y=0.950892
x=0.976933,y=0.954243
x=0.979998,y=0.96025
x=0.981577,y=0.963354
x=0.984555,y=0.969222
x=0.987259,y=0.974564
x=0.992052,y=0.984068
x=0.998242,y=0.996426
x=0.998686,y=0.997376
x=1,y=1
x=1,y=0.999999
converged to x=1,y=0.999999 in 75 iterations
